epoch,lossD,lossG,lossG_recon
1,0.0838,0.2304,0.0018
2,0.0878,0.2038,0.0015
3,0.0839,0.1725,0.0013
4,0.0850,0.1609,0.0011
5,0.0847,0.1650,0.0012
6,0.0868,0.1438,0.0010
7,0.0854,0.1423,0.0010
8,0.0856,0.1293,0.0009
9,0.0851,0.1226,0.0008
10,0.0843,0.1494,0.0010
11,0.0818,0.1563,0.0010
12,0.0817,0.1596,0.0011
13,0.0824,0.1405,0.0009
14,0.0825,0.1406,0.0009
15,0.0877,0.1259,0.0008
16,0.0829,0.1167,0.0008
17,0.0846,0.1201,0.0008
18,0.0836,0.1496,0.0010
19,0.0813,0.1381,0.0009
20,0.0787,0.1331,0.0009
21,0.0797,0.1361,0.0008
22,0.0828,0.1460,0.0009
23,0.0785,0.1319,0.0008
24,0.0805,0.1015,0.0007
25,0.0795,0.1224,0.0008
26,0.0818,0.0996,0.0006
27,0.0822,0.1257,0.0008
28,0.0811,0.1144,0.0007
29,0.0823,0.1188,0.0008
30,0.0924,0.1174,0.0007
